Activity ID,Activity Status,WBS Code,At Completion Duration(d),Activity Name,Start,Finish,(*)Free Float(d),Total Float,Predecessors,Predecessor Details,Successors,Successor Details,Primary Constraint,Activity Type,Duration Type,Delete This Row
A21620,Not Started,Hercules_15082023-6.18.1,10,System Commissioning - Relief Vent,22/01/2024 08:00,02/02/2024 17:00,15,31,A7470,A7470: FS,"A21780, A21790, A21600","A21780: FS, A21790: FS, A21600: FS",,Task Dependent,Fixed Duration & Units,
A21660,Not Started,Hercules_15082023-6.18.1,10,System Commissioning - Softened Water,22/01/2024 08:00,02/02/2024 17:00,15,31,A7440,A7440: FS,"A21780, A21790, A21600","A21780: FS, A21790: FS, A21600: FS",,Task Dependent,Fixed Duration & Units,
A21570,Not Started,Hercules_15082023-6.18.1,5,System Commissioning - Process Air,24/01/2024 08:00,30/01/2024 17:00,0,14,"A21800, A7410","A21800: FS, A7410: FS","A21530, A21600, A21780, A21790, A21740, JCQV1030, JCQV1020","A21530: FS, A21600: FS, A21780: FS, A21790: FS, A21740: FS, JCQV1030: FS, JCQV1020: FS",,Task Dependent,Fixed Duration & Units,
A21710,Not Started,Hercules_15082023-6.18.1,8,System Commissioning - AP Water (BWT AQUA),29/01/2024 16:00,08/02/2024 17:00,0,0,"A34350, A7410, A7480, A30820, A34380, A30830, A7450, A7420","A34350: FS, A7410: FS, A7480: FS, A30820: FF -5, A34380: FS -4, A30830: FS, A7450: FS, A7420: FS","A21530, A21740, A21780, JCQV1070, A21760","A21530: FS, A21740: FF 5, A21780: FS, JCQV1070: FS, A21760: SS",,Task Dependent,Fixed Duration & Units,
A21690,Not Started,Hercules_15082023-6.18.1,5,System Commissioning - Chilled Water Supply 7 13,02/02/2024 08:00,08/02/2024 17:00,12,27,A7390,A7390: FS,"A21740, A21790, A21600","A21740: FF 10, A21790: FS, A21600: FS",,Task Dependent,Fixed Duration & Units,
A21760,Not Started,Hercules_15082023-6.18.1,10,System Commissioning - CS / WFI (BWT AQUA),12/02/2024 08:00,23/02/2024 17:00,0,-9,"A7420, A7410, A7400, A7390, A34380, A30820, A7430, A7490, A34350, A21710","A7420: FS, A7410: FS, A7400: FS -3, A7390: FS, A34380: FS, A30820: FF, A7430: FS, A7490: FS, A34350: FS, A21710: SS","A21530, A21780, JCQV1130, JCQV1050, A21600, A21790, A21740","A21530: FS, A21780: FS, JCQV1130: FF, JCQV1050: FF, A21600: FS, A21790: FS, A21740: FS",,Task Dependent,Fixed Duration & Units,
A21720,Not Started,Hercules_15082023-6.18.1,5,System Commissioning - Chilled Water Return 13 17,15/02/2024 08:00,21/02/2024 17:00,3,18,A7400,A7400: FS,"A21740, A21790, A21600","A21740: FF 10, A21790: FS, A21600: FS",,Task Dependent,Fixed Duration & Units,
A34410,Not Started,Hercules_15082023-6.18.1,10,System Commissioning - AHU Zone 3,22/02/2024 08:00,06/03/2024 17:00,7,3,A34280,A34280: FS,A34440,A34440: FF,,Task Dependent,Fixed Duration & Units,
A21920,Not Started,Hercules_15082023-6.18.1,10,System Commissioning - GMS,01/03/2024 09:00,15/03/2024 09:00,0,2,A7500,A7500: FS,JCQV1180,JCQV1180: FS,,Task Dependent,Fixed Duration & Units,
A34440,Not Started,Hercules_15082023-6.18.1,10,System Commissioning - EMS,04/03/2024 08:00,15/03/2024 17:00,0,-4,"A34410, A30800","A34410: FF, A30800: FS",JCQV1350,JCQV1350: FF,,Task Dependent,Fixed Duration & Units,
A34420,Not Started,Hercules_15082023-6.18.1,10,System Commissioning - AHU Zone 4,11/03/2024 08:00,22/03/2024 17:00,0,96,A34290,A34290: FS,A34450,A34450: FF,,Task Dependent,Fixed Duration & Units,
A34450,Not Started,Hercules_15082023-6.18.1,10,System Commissioning - EMS Zone 4,11/03/2024 08:00,22/03/2024 17:00,28,96,"A34420, A30800","A34420: FF, A30800: FS",JCQV2410,JCQV2410: FF,,Task Dependent,Fixed Duration & Units,
A21650,Not Started,Hercules_15082023-6.18.1,15,System Commissioning - AHU Zone 1,11/03/2024 08:00,02/04/2024 17:00,0,91,A7550,A7550: FS,A21810,A21810: FF,,Task Dependent,Fixed Duration & Units,
A40290,Not Started,Hercules_15082023-6.18.1,10,System Commissioning - BMS,14/03/2024 08:00,27/03/2024 17:00,93,93,"A32060, A32260, A32460, A32660, A32770, A33040, A33400, A33490, A34210, A34160, A30820","A32060: FS, A32260: FS, A32460: FS, A32660: FS, A32770: FS, A33040: FS, A33400: FS, A33490: FS, A34210: FS, A34160: FS, A30820: FS",,,,Task Dependent,Fixed Duration & Units,
A21770,Not Started,Hercules_15082023-6.18.1,10,System Commissioning - All Electrical Systems,14/03/2024 08:00,27/03/2024 17:00,93,93,A7510,A7510: FS,,,,Task Dependent,Fixed Duration & Units,
A21810,Not Started,Hercules_15082023-6.18.1,10,System Commissioning - EMS Zone 1,18/03/2024 08:00,02/04/2024 17:00,91,91,"A21650, A30800","A21650: FF, A30800: FS",,,,Task Dependent,Fixed Duration & Units,
A34400,Not Started,Hercules_15082023-6.18.1,25,System Commissioning - AHU Zone 2,28/03/2024 08:00,03/05/2024 17:00,0,68,A34270,A34270: FS,A34430,A34430: FF,,Task Dependent,Fixed Duration & Units,
A34430,Not Started,Hercules_15082023-6.18.1,10,System Commissioning - EMS Zone 2,22/04/2024 08:00,03/05/2024 17:00,0,68,"A34400, A30800","A34400: FF, A30800: FS",JCQV2410,JCQV2410: FF,,Task Dependent,Fixed Duration & Units,
A21530,Not Started,Hercules_15082023-6.18.6,15,System Commissioning & SAT - Chromatography Skid (Duration TBC),26/02/2024 08:00,15/03/2024 17:00,0,41,"A21710, A21570, A21760, A21550","A21710: FS, A21570: FS, A21760: FS, A21550: FS",JCQV1220,JCQV1220: FS,,Task Dependent,Fixed Duration & Units,
A21780,Not Started,Hercules_15082023-6.18.6,20,System Commissioning & SAT - Parts Washers (BELIMED),26/02/2024 08:00,22/03/2024 17:00,0,16,"A30900, A21760, A21710, A21660, A21570, A21540, A21610, A21700, A21620, A21560","A30900: FS, A21760: FS, A21710: FS, A21660: FS, A21570: FS, A21540: FS, A21610: FS, A21700: FS, A21620: FS, A21560: FS",JCQV1230,JCQV1230: FS,,Task Dependent,Fixed Duration & Units,
A21740,Not Started,Hercules_15082023-6.18.6,30,System Commissioning & SAT - Fermenter Package incl Centrifuge and Skid tanks (ZETA incl GEA),26/02/2024 08:00,09/04/2024 17:00,0,-4,"A21710, A21690, A21730, A21560, A21720, A21550, A21700, A21590, A21580, A21570, A7930, A30870, A30880, A21760","A21710: FF 5, A21690: FF 10, A21730: FF 10, A21560: FF 10, A21720: FF 10, A21550: FF 10, A21700: FF 10, A21590: FF 10, A21580: FF 10, A21570: FS, A7930: FS, A30870: FS, A30880: FS, A21760: FS","JCQV1280, JCQV1200","JCQV1280: FS, JCQV1200: FF",,Task Dependent,Fixed Duration & Units,
A21600,Not Started,Hercules_15082023-6.18.6,20,System Commissioning & SAT - Decon Autoclave (GETINGE),26/02/2024 15:00,25/03/2024 15:00,0,40,"A30910, A21570, A21690, A21730, A21540, A21610, A21700, A21620, A21660, A21720, A21760","A30910: FS, A21570: FS, A21690: FS, A21730: FS, A21540: FS, A21610: FS, A21700: FS, A21620: FS, A21660: FS, A21720: FS, A21760: FS",JCQV1150,JCQV1150: FS,,Task Dependent,Fixed Duration & Units,
A21790,Not Started,Hercules_15082023-6.18.6,20,System Commissioning & SAT - Steriliser Autoclaves (GETINGE),26/02/2024 16:00,25/03/2024 16:00,0,25,"A30890, A21570, A21690, A21730, A21610, A21540, A21700, A21620, A21660, A21720, A30890, A21760","A30890: FF, A21570: FS, A21690: FS, A21730: FS, A21610: FS, A21540: FS, A21700: FS, A21620: FS, A21660: FS, A21720: FS, A30890: FS, A21760: FS",JCQV1210,JCQV1210: FS,,Task Dependent,Fixed Duration & Units,
JCQV2170,Not Started,Hercules_15082023-6.5.3,0,todel,29/08/2023 08:00,29/08/2023 08:00,235,235,,,,,,Task Dependent,Fixed Duration & Units,
JCQV1240,Not Started,Hercules_15082023-6.5.3,0,ExPec - Facilities Commissioned,,29/08/2023 08:00,0,174,,,"JCQV1260, JCQV1320, JCQV1310","JCQV1260: FS, JCQV1320: FS, JCQV1310: FS",,Finish Milestone,Fixed Duration and Units/Time,
JCQV1250,Not Started,Hercules_15082023-6.5.3,0,LVHD - Facilities Commissioned,,29/08/2023 08:00,0,174,,,"JCQV1260, JCQV1320, JCQV1310","JCQV1260: FS, JCQV1320: FS, JCQV1310: FS",,Finish Milestone,Fixed Duration and Units/Time,
JCQV1340,Not Started,Hercules_15082023-6.5.3,0,F&F - Facilities Commissioned,,29/08/2023 08:00,0,174,,,"JCQV1320, JCQV1310","JCQV1320: FS, JCQV1310: FS",,Finish Milestone,Fixed Duration and Units/Time,
JCQV1000,Not Started,Hercules_15082023-6.5.3,0,Power Available,,12/01/2024 16:00,0,41,A21800,A21800: FS,"JCQV1640, JCQV1460, JCQV1400, JCQV1380, JCQV1620, JCQV1610, JCQV1450, JCQV1600, JCQV1590, JCQV1560, JCQV1360","JCQV1640: FS, JCQV1460: FS, JCQV1400: FS, JCQV1380: FS, JCQV1620: FS, JCQV1610: FS, JCQV1450: FS, JCQV1600: FS, JCQV1590: FS, JCQV1560: FS, JCQV1360: FS",,Finish Milestone,Fixed Duration and Units/Time,
JCQV1010,Not Started,Hercules_15082023-6.5.3,0,Bio Kill System - Commissioning Complete,,26/01/2024 16:00,50,46,"A21970, A21550","A21970: FS, A21550: FS","JCQV1590, JCQV1560","JCQV1590: FS, JCQV1560: FS",,Finish Milestone,Fixed Duration and Units/Time,
JCQV1020,Not Started,Hercules_15082023-6.5.3,0,Process Air - Commissioning Complete*,,30/01/2024 17:00,18,125,A21570,A21570: FS,JCQV1110,JCQV1110: FS,,Finish Milestone,Fixed Duration and Units/Time,
JCQV1030,Not Started,Hercules_15082023-6.5.3,0,Gases - Commissioning Complete*,,01/02/2024 17:00,16,32,"A21580, A21590, A21570, A21560","A21580: FS, A21590: FS, A21570: FS, A21560: FS","JCQV1110, JCQV1490","JCQV1110: FS, JCQV1490: FS",,Finish Milestone,Fixed Duration and Units/Time,
JCQV1070,Not Started,Hercules_15082023-6.5.3,0,PW - Commissioning Complete*,,08/02/2024 17:00,11,12,A21710,A21710: FS,"JCQV1110, JCQV1060","JCQV1110: FS, JCQV1060: FS",,Finish Milestone,Fixed Duration and Units/Time,
JCQV1130,Not Started,Hercules_15082023-6.5.3,0,WFI - Commissioning Complete*,,23/02/2024 17:00,0,11,A21760,A21760: FF,"JCQV1140, JCQV1110","JCQV1140: FS, JCQV1110: FS",,Finish Milestone,Fixed Duration and Units/Time,
JCQV1050,Not Started,Hercules_15082023-6.5.3,0,Clean Steam - Commissioning Complete*,,23/02/2024 17:00,0,-9,"A21680, A21760","A21680: FS, A21760: FF","JCQV1110, JCQV1040","JCQV1110: FS, JCQV1040: FS",,Finish Milestone,Fixed Duration and Units/Time,
JCQV1180,Not Started,Hercules_15082023-6.5.3,0,GMS - Commissioning Complete,,15/03/2024 09:00,6,2,A21920,A21920: FS,JCQV1490,JCQV1490: FS,,Finish Milestone,Fixed Duration and Units/Time,
JCQV1220,Not Started,Hercules_15082023-6.5.3,0,AEKTA - Commissioning Complete,,15/03/2024 17:00,15,41,A21530,A21530: FS,JCQV1620,JCQV1620: FS,,Finish Milestone,Fixed Duration and Units/Time,
JCQV1350,Not Started,Hercules_15082023-6.5.3,0,EMS - Ready for Qualification (Zone 1),,15/03/2024 17:00,0,-4,A34440,A34440: FF,"JCQV1410, JCQV1360","JCQV1410: FS, JCQV1360: FS",,Finish Milestone,Fixed Duration and Units/Time,
JCQV1230,Not Started,Hercules_15082023-6.5.3,0,GMP Washer - Commissioning Complete,,22/03/2024 17:00,5,16,A21780,A21780: FS,"JCQV1460, JCQV1450","JCQV1460: FS, JCQV1450: FS",,Finish Milestone,Fixed Duration and Units/Time,
JCQV1150,Not Started,Hercules_15082023-6.5.3,0,D.Autoclave - Commissioning Complete,,25/03/2024 15:00,9,40,A21600,A21600: FS,JCQV1610,JCQV1610: FS,,Finish Milestone,Fixed Duration and Units/Time,
JCQV1210,Not Started,Hercules_15082023-6.5.3,0,S.Autoclaves - Commissioning Complete,,25/03/2024 16:00,9,25,A21790,A21790: FS,"JCQV1640, JCQV1600","JCQV1640: FS, JCQV1600: FS",,Finish Milestone,Fixed Duration and Units/Time,
JCQV1480,Not Started,Hercules_15082023-6.5.3,0,HVAC - Balancing Complete (ExPec)*,,05/04/2024 17:00,0,43,A21750,A21750: FF,"JCQV1470, JCQV2000","JCQV1470: FS, JCQV2000: FS",,Finish Milestone,Fixed Duration and Units/Time,
JCQV1800,Not Started,Hercules_15082023-6.5.3,0,HVAC - Balancing Complete (LVHD & F&F)*,,05/04/2024 17:00,0,38,A21750,A21750: FF,"JCQV1790, JCQV2000, JCQV2270","JCQV1790: FS, JCQV2000: FS, JCQV2270: FS",,Finish Milestone,Fixed Duration and Units/Time,
JCQV1200,Not Started,Hercules_15082023-6.5.3,0,Centrifuge - Commissioning Complete,,09/04/2024 17:00,0,-4,A21740,A21740: FF,"JCQV1560, JCQV1280","JCQV1560: FS, JCQV1280: FF",,Finish Milestone,Fixed Duration and Units/Time,
JCQV1280,Not Started,Hercules_15082023-6.5.3,0,Fermenter - Commissioning Complete,,09/04/2024 17:00,0,-4,"A21740, JCQV1200","A21740: FS, JCQV1200: FF",JCQV1590,JCQV1590: FS,,Finish Milestone,Fixed Duration and Units/Time,
JCQV2410,Not Started,Hercules_15082023-6.5.3,0,EMS - Ready for Qualification Zones 2/3/4,,03/05/2024 17:00,68,68,"A34430, A34450","A34430: FF, A34450: FF",,,,Finish Milestone,Fixed Duration and Units/Time,
JCQV2430,Not Started,Hercules_15082023-6.5.4.1.1,5,(CHECK) EMS - Execution Zone 2/3/4,29/08/2023 08:00,04/09/2023 17:00,230,230,,,,,,Task Dependent,Fixed Duration & Units,
JCQV2440,Not Started,Hercules_15082023-6.5.4.1.1,5,(CHECK) EMS - OQ Documentation Review & Approval Zones 2/3/4,29/08/2023 08:00,04/09/2023 17:00,230,230,,,,,,Task Dependent,Fixed Duration & Units,
JCQV2420,Not Started,Hercules_15082023-6.5.4.1.1,10,(CHECK) DLS - CSV Zones 2/3/4,29/08/2023 08:00,11/09/2023 17:00,225,225,,,,,,Task Dependent,Fixed Duration & Units,
JCQV1360,Not Started,Hercules_15082023-6.5.4.1.1,5,EMS - Execution,18/03/2024 08:00,22/03/2024 17:00,0,-4,"JCQV1000, JCQV1350","JCQV1000: FS, JCQV1350: FS","JCQV1410, JCQV1610, JCQV1490, JCQV1400, JCQV1370","JCQV1410: FS, JCQV1610: FS, JCQV1490: FS, JCQV1400: FS, JCQV1370: SS",,Task Dependent,Fixed Duration & Units,
JCQV1370,Not Started,Hercules_15082023-6.5.4.1.1,10,DLS - CSV Zone 1,18/03/2024 08:00,02/04/2024 17:00,0,1,"JCQV1410, JCQV1360","JCQV1410: FF, JCQV1360: SS","JCQV1640, JCQV1460, JCQV1400, JCQV1620, JCQV1450, JCQV1600, JCQV1590, JCQV1560","JCQV1640: FS, JCQV1460: FS, JCQV1400: FF, JCQV1620: FS, JCQV1450: FS, JCQV1600: FS, JCQV1590: FS, JCQV1560: FS",,Task Dependent,Fixed Duration & Units,
JCQV1410,Not Started,Hercules_15082023-6.5.4.1.1,5,EMS - OQ Documentation Review & Approval,25/03/2024 08:00,02/04/2024 17:00,0,1,"JCQV1360, JCQV1350","JCQV1360: FS, JCQV1350: FS","JCQV2040, JCQV1370","JCQV2040: FS, JCQV1370: FF",,Task Dependent,Fixed Duration & Units,
JCQV1140,Not Started,Hercules_15082023-6.5.4.2.1,10,WFI - IOQ Execution,25/03/2024 08:00,09/04/2024 17:00,0,-9,"JCQV1130, JCQV1060","JCQV1130: FS, JCQV1060: FS","JCQV1550, JCQV1590, JCQV1170, A31190","JCQV1550: FS, JCQV1590: FS, JCQV1170: FS, A31190: SS",,Task Dependent,Fixed Duration & Units,
JCQV1170,Not Started,Hercules_15082023-6.5.4.2.1,5,WFI - IOQ Documentation Review & Approval,10/04/2024 08:00,16/04/2024 17:00,0,-9,JCQV1140,JCQV1140: FS,"JCQV1560, JCQV1660, JCQV1190","JCQV1560: FS, JCQV1660: FS, JCQV1190: FS",,Task Dependent,Fixed Duration & Units,
JCQV1060,Not Started,Hercules_15082023-6.5.4.2.3,10,AP System - IOQ Execution,11/03/2024 08:00,22/03/2024 17:00,0,-9,"JCQV1070, JCQV1040","JCQV1070: FS, JCQV1040: FS","JCQV1460, JCQV1550, JCQV1620, JCQV1590, JCQV1560, JCQV1450, JCQV1120, JCQV1140","JCQV1460: FS, JCQV1550: FS, JCQV1620: FS, JCQV1590: FS, JCQV1560: FS, JCQV1450: FS, JCQV1120: FS, JCQV1140: FS",,Task Dependent,Fixed Duration & Units,
JCQV1120,Not Started,Hercules_15082023-6.5.4.2.3,5,AP System - IOQ Documentation Review & Approval,25/03/2024 08:00,02/04/2024 17:00,0,32,JCQV1060,JCQV1060: FS,"JCQV1660, JCQV1160","JCQV1660: FS, JCQV1160: FS",,Task Dependent,Fixed Duration & Units,
JCQV1490,Not Started,Hercules_15082023-6.5.4.2.4,10,Gases (Inc. Process Air) - OQ Execution,25/03/2024 08:00,09/04/2024 17:00,0,-4,"JCQV1180, JCQV1030, JCQV1360","JCQV1180: FS, JCQV1030: FS, JCQV1360: FS","JCQV1640, JCQV1550, JCQV1620, JCQV1610, JCQV1600, JCQV1590, JCQV1560, JCQV1630","JCQV1640: FS, JCQV1550: FS, JCQV1620: FS, JCQV1610: FS, JCQV1600: FS, JCQV1590: FS, JCQV1560: FS, JCQV1630: FS",,Task Dependent,Fixed Duration & Units,
JCQV1630,Not Started,Hercules_15082023-6.5.4.2.4,5,Gases (Inc. Process Air) - OQ Documentation Review & Approval,10/04/2024 08:00,16/04/2024 17:00,0,32,JCQV1490,JCQV1490: FS,"JCQV1660, JCQV1760","JCQV1660: FS, JCQV1760: FS",,Task Dependent,Fixed Duration & Units,
JCQV1040,Not Started,Hercules_15082023-6.5.4.2.5,10,CS - IOQ Execution,26/02/2024 08:00,08/03/2024 17:00,0,-9,JCQV1050,JCQV1050: FS,"JCQV1560, JCQV1550, JCQV1590, JCQV1080, JCQV1060, A31190","JCQV1560: FS, JCQV1550: FS, JCQV1590: FS, JCQV1080: FS, JCQV1060: FS, A31190: SS",,Task Dependent,Fixed Duration & Units,
JCQV1080,Not Started,Hercules_15082023-6.5.4.2.5,5,CS - IOQ Documentation Review & Approval,11/03/2024 08:00,15/03/2024 17:00,0,62,JCQV1040,JCQV1040: FS,"JCQV1660, JCQV1090","JCQV1660: FS, JCQV1090: FS",,Task Dependent,Fixed Duration & Units,
JCQV1560,Not Started,Hercules_15082023-6.5.4.3.1,5,Centrifuge - IOQ Execution (Leverage Vendor IOQ - Covered within PMG Commissioning Activity),17/04/2024 08:00,23/04/2024 17:00,0,-9,"JCQV1170, JCQV1040, JCQV1010, JCQV1060, JCQV1490, JCQV1000, JCQV1370, JCQV1200","JCQV1170: FS, JCQV1040: FS, JCQV1010: FS, JCQV1060: FS, JCQV1490: FS, JCQV1000: FS, JCQV1370: FS, JCQV1200: FS","JCQV1580, JCQV1650, JCQV1570, A31190","JCQV1580: FS, JCQV1650: FS, JCQV1570: FS, A31190: SS",,Task Dependent,Fixed Duration & Units,
JCQV1570,Not Started,Hercules_15082023-6.5.4.3.1,5,"Centrifuge - IOQ Documentation Preparation, Review & Approval",24/04/2024 08:00,30/04/2024 17:00,0,62,JCQV1560,JCQV1560: FS,JCQV1850,JCQV1850: FS,,Task Dependent,Fixed Duration & Units,
JCQV1580,Not Started,Hercules_15082023-6.5.4.3.1,10,Centrifuge - CSV Testing,24/04/2024 08:00,08/05/2024 17:00,0,-9,JCQV1560,JCQV1560: FS,"JCQV1900, JCQV1930, JCQV1860","JCQV1900: FS, JCQV1930: FS, JCQV1860: FS",,Task Dependent,Fixed Duration & Units,
JCQV1860,Not Started,Hercules_15082023-6.5.4.3.1,5,Centrifuge - CSV Documentation Review & Approval,09/05/2024 08:00,15/05/2024 17:00,0,52,JCQV1580,JCQV1580: FS,JCQV1970,JCQV1970: FS,,Task Dependent,Fixed Duration & Units,
JCQV1900,Not Started,Hercules_15082023-6.5.4.3.1,15,Centrifuge - CIP,09/05/2024 08:00,30/05/2024 17:00,0,-9,JCQV1580,JCQV1580: FS,JCQV1980,JCQV1980: FS,,Task Dependent,Fixed Duration & Units,
JCQV1980,Not Started,Hercules_15082023-6.5.4.3.1,15,Centrifuge - SIP,31/05/2024 08:00,20/06/2024 17:00,0,-9,JCQV1900,JCQV1900: FS,"JCQV2000, JCQV2040","JCQV2000: FS, JCQV2040: FS",,Task Dependent,Fixed Duration & Units,
JCQV1260,Not Started,Hercules_15082023-6.5.4.3.10,5,LAF - IOQ Execution,29/08/2023 08:00,04/09/2023 17:00,0,180,"JCQV1250, JCQV1240","JCQV1250: FS, JCQV1240: FS","JCQV1650, JCQV1300, JCQV2280, A31190","JCQV1650: FS, JCQV1300: FS, JCQV2280: FS, A31190: SS",,Task Dependent,Fixed Duration & Units,
JCQV1300,Not Started,Hercules_15082023-6.5.4.3.10,5,LAF - IOQ Documentation Review & Approval,05/09/2023 08:00,11/09/2023 17:00,154,216,JCQV1260,JCQV1260: FS,JCQV1850,JCQV1850: FS,,Task Dependent,Fixed Duration & Units,
JCQV1100,Not Started,Hercules_15082023-6.5.4.3.11,5,BSC - Move to Final Location,07/08/2024 08:00,13/08/2024 17:00,0,0,,,,,As Late As Possible,Task Dependent,Fixed Duration & Units,
JCQV1640,Not Started,Hercules_15082023-6.5.4.3.13,5,S.Autoclave (F&F) - IOQ Execution,10/04/2024 08:00,16/04/2024 17:00,0,16,"JCQV1490, JCQV1000, JCQV1370, JCQV1210","JCQV1490: FS, JCQV1000: FS, JCQV1370: FS, JCQV1210: FS","JCQV1650, JCQV1780, JCQV1770, JCQV2280, A31190","JCQV1650: FS, JCQV1780: FS, JCQV1770: FS, JCQV2280: FS, A31190: SS",,Task Dependent,Fixed Duration & Units,
JCQV1770,Not Started,Hercules_15082023-6.5.4.3.13,5,S.Autoclave (F&F) - IOQ Documentation Review & Approval,17/04/2024 08:00,23/04/2024 17:00,5,67,JCQV1640,JCQV1640: FS,JCQV1850,JCQV1850: FS,,Task Dependent,Fixed Duration & Units,
JCQV1780,Not Started,Hercules_15082023-6.5.4.3.13,5,S.Autoclave (F&F) - CSV Testing,17/04/2024 08:00,23/04/2024 17:00,0,16,JCQV1640,JCQV1640: FS,"JCQV1930, JCQV1920, JCQV1910, JCQV2290","JCQV1930: FS, JCQV1920: FS, JCQV1910: FS, JCQV2290: FS",,Task Dependent,Fixed Duration & Units,
JCQV1910,Not Started,Hercules_15082023-6.5.4.3.13,5,S.Autoclave (F&F) - CSV Documentation Review & Approval,24/04/2024 08:00,30/04/2024 17:00,10,62,JCQV1780,JCQV1780: FS,JCQV1970,JCQV1970: FS,,Task Dependent,Fixed Duration & Units,
JCQV1920,Not Started,Hercules_15082023-6.5.4.3.13,10,S.Autoclave (F&F) - Cycle Development,24/04/2024 08:00,08/05/2024 17:00,5,16,JCQV1780,JCQV1780: FS,"JCQV2040, JCQV2000, JCQV2270","JCQV2040: FS, JCQV2000: FS, JCQV2270: FS",,Task Dependent,Fixed Duration & Units,
JCQV1590,Not Started,Hercules_15082023-6.5.4.3.2,5,Fermenter - IOQ Execution,10/04/2024 08:00,16/04/2024 17:00,0,-4,"JCQV1010, JCQV1140, JCQV1040, JCQV1490, JCQV1060, JCQV1000, JCQV1370, JCQV1280","JCQV1010: FS, JCQV1140: FS, JCQV1040: FS, JCQV1490: FS, JCQV1060: FS, JCQV1000: FS, JCQV1370: FS, JCQV1280: FS","JCQV1680, JCQV1650, JCQV1670, A31190","JCQV1680: FS, JCQV1650: FS, JCQV1670: FS, A31190: SS",,Task Dependent,Fixed Duration & Units,
